店舗名,住所,電話番号,HP,詳細URL
おいしいふるむら,大阪府 大阪市福島区 福島 3-6-22,050-5890-9732,,https://tabelog.com/osaka/A2701/A270108/27136156/
林檎と、,大阪府 大阪市福島区 福島 7-6-19,050-5456-5793,,https://tabelog.com/osaka/A2701/A270108/27145413/
OKKII 新福島店（オッキー）,大阪府 大阪市福島区 福島 2-7-5,050-5600-1379,https://www.okkii-jp.com/,https://tabelog.com/osaka/A2701/A270108/27132864/
鮨まつやま,大阪府 大阪市福島区 福島 5-10-9,050-5596-4515,,https://tabelog.com/osaka/A2701/A270108/27107078/
月のあかり,大阪府 大阪市福島区 吉野 2-15-19,050-5592-8350,,https://tabelog.com/osaka/A2701/A270108/27139893/
季節の肴と酒処 大くぼ,大阪府 大阪市福島区 福島 7‐17‐21 ベルメゾン福島101,050-5597-0784,https://sakedokoro-okubo.com/,https://tabelog.com/osaka/A2701/A270108/27109586/
ワインと宇治茶 コント・デュ・ヴァン（Les Contes du Vin.）,大阪府 大阪市福島区 福島 3-9-15 2F,050-5868-8359,http://lescontesduvin.favy.jp/,https://tabelog.com/osaka/A2701/A270108/27096257/
ながしろ,大阪府 大阪市福島区 玉川 4-15-9 マンションニュー富士　１Ｆ,050-5589-6991,,https://tabelog.com/osaka/A2701/A270108/27008517/
笑酒屋アテトサカナ,大阪府 大阪市福島区 福島 7-12-2 堀内福島第二ビル 2F,050-5595-9829,https://atetosakana.com/,https://tabelog.com/osaka/A2701/A270108/27145110/
隠れ鉄板酒場 風流,大阪府 大阪市福島区 鷺州1丁目12-36,050-5597-1552,,https://tabelog.com/osaka/A2701/A270108/27104003/
いなせ,大阪府 大阪市福島区 福島 1-1-51 堂島クロスウォーク　Ｔｈｅ　Ｔｏｗｅｒ　Ｏｓａｋａ　１Ｆ,050-5593-7522,http://www.dojimacross.com/,https://tabelog.com/osaka/A2701/A270108/27001126/
旬菜鉄板 喜積（Kiseki）,大阪府 大阪市福島区 福島 7-9-18 寺川ビル 1F,050-5594-3312,https://www.teppan-kiseki.jp/,https://tabelog.com/osaka/A2701/A270108/27100125/
とん彩や 福島店（トンサイヤ）,大阪府 大阪市福島区 福島 5-10-13,050-5869-8797,http://tonsaiya.com/,https://tabelog.com/osaka/A2701/A270108/27015940/
チャイニーズ 芹菜（チャイニーズ セロリ）,大阪府 大阪市福島区 福島 6-11-13 シャトー西梅田　１Ｆ,050-5595-3328,https://chinese-serori-reserve.com/,https://tabelog.com/osaka/A2701/A270108/27004404/
中華料理 福の虎（【旧店名】とらの穴）,大阪府 大阪市福島区 福島 5-6-16 ホテル阪神 B1F,050-5570-0219,https://fukunotora.com,https://tabelog.com/osaka/A2701/A270108/27016742/
焼肉こじま 離れ 大阪福島,大阪府 大阪市福島区 福島 5-6-13,050-5595-5164,,https://tabelog.com/osaka/A2701/A270108/27146456/
鮨・酒・肴 杉玉 JR野田駅,大阪府 大阪市福島区 吉野 3-1-12 ビエラ野田,050-5600-6700,https://www.sugidama-sushiizakaya.jp/,https://tabelog.com/osaka/A2701/A270108/27136263/
ちゃんこ ごっつ庵,大阪府 大阪市福島区 海老江 1-3-11,06-6458-0230,https://chanko-gottsuan.com/,https://tabelog.com/osaka/A2701/A270108/27005334/
焼き鳥とおつまみ 佐藤,大阪府 大阪市福島区 吉野 3-8-3,050-5589-7768,,https://tabelog.com/osaka/A2701/A270108/27131378/
カラオケ＆ビアポンバー casa tres3,大阪府 大阪市福島区 福島 7-11-51 福ろうじ商店街 北49号 2F,050-5456-2794,,https://tabelog.com/osaka/A2701/A270108/27149341/
ナガヤ103（イチマルサン）,大阪府 大阪市福島区 鷺洲 2-15-31,050-5596-3495,https://yoyaku-nagaya-103.com/,https://tabelog.com/osaka/A2701/A270108/27137313/
浦江亭 福島店（ウラエテイ）,大阪府 大阪市福島区 福島 6-9-15 北一ビル　１Ｆ,050-5592-5358,,https://tabelog.com/osaka/A2701/A270108/27004209/
カウンター割烹 みおつくし (リーガロイヤルホテル大阪),大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ヴィニェット コレクション B2F,050-5868-5008,http://www.rihga.co.jp/osaka/restaurant/list/miotukusi/index.html,https://tabelog.com/osaka/A2701/A270108/27004463/
一粒一粒,大阪府 大阪市福島区 福島 3-11-6,050-5596-6829,,https://tabelog.com/osaka/A2701/A270108/27149326/
牛とろ屋（ギュウトロヤ）,大阪府 大阪市福島区 吉野 2-15-18 阪神レジャービル三番館　１Ｆ,050-5869-9531,https://gyutoroya-noda.jp/,https://tabelog.com/osaka/A2701/A270108/27018617/
菜米炭゛（サラダ）,大阪府 大阪市福島区 福島 3-10-2 サカイハイツ 1F,050-5456-4480,,https://tabelog.com/osaka/A2701/A270108/27099135/
旬彩 和央,大阪府 大阪市福島区 福島 7-5-5,050-5890-8813,https://www.waoh-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27074689/
ネオ大衆居酒屋 餃子のかっちゃん 大阪福島店,大阪府 大阪市福島区 福島 5-14-10,050-5600-0688,,https://tabelog.com/osaka/A2701/A270108/27132832/
泡ギョーザ ファンホリック（FUNHOLiC 【旧店名】東京泡餃子）,大阪府 大阪市福島区 福島 7-5-20 1F,050-5593-2728,,https://tabelog.com/osaka/A2701/A270108/27102481/
皇家龍鳳 (リーガロイヤルホテル大阪)（コウカリュウホウ）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル 大阪 ウエストウイング 15F,050-5868-5928,http://www.rihga.co.jp/osaka/restaurant/list/royalryuho/index.html,https://tabelog.com/osaka/A2701/A270108/27000805/
N山総本家 N山大介 福島本店（NyamaDaisuke）,大阪府 大阪市福島区 福島 3-14-8,050-5589-8054,https://www.tiktok.com/@nyamadaisuke2206,https://tabelog.com/osaka/A2701/A270108/27130191/
大衆居酒屋★新世界もつ鍋屋 FC福島店,大阪府 大阪市福島区 福島 1-7-10,050-5590-7459,,https://tabelog.com/osaka/A2701/A270108/27015052/
焼肉 犇（うしさん）,大阪府 大阪市福島区 福島 7-9-29 セイドービル 3F 北号室,050-5593-5465,,https://tabelog.com/osaka/A2701/A270108/27141851/
うまうま 福島本店,大阪府 大阪市福島区 福島 6-13-7 Jプロ福島ビル 1F,050-5596-5712,https://umauma-zanmai.com,https://tabelog.com/osaka/A2701/A270108/27079923/
新福島 たいよう 弍,大阪府 大阪市福島区 福島 1-6-14,050-5456-5800,,https://tabelog.com/osaka/A2701/A270108/27149261/
中之島なだ万（ナダマン）,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,050-5595-5033,https://www.nadaman.co.jp/pages/restaurant_nakanoshima,https://tabelog.com/osaka/A2701/A270108/27000806/
美らしゃぶ処かくれ,大阪府 大阪市福島区 福島 5-13-2 3F,050-5595-2688,,https://tabelog.com/osaka/A2701/A270108/27145367/
炭火焼肉・ホルモン モツの関ちゃん,大阪府 大阪市福島区 福島 5-11-2 なごみビル,050-5594-3623,,https://tabelog.com/osaka/A2701/A270108/27144238/
和食 ふくみ,大阪府 大阪市福島区 福島 1-2-35 パインブルックリンビル 1F,050-5590-9155,https://instagram.com/washoku_fukumi?igshid=1isds9cwp4ju0,https://tabelog.com/osaka/A2701/A270108/27091169/
ケーキとイタリア料理 ミーオ 福島店（mio）,大阪府 大阪市福島区 鷺洲 2-12-1,050-5597-4074,,https://tabelog.com/osaka/A2701/A270108/27075911/
焼肉きた松 斗仁,大阪府 大阪市福島区 福島 7-6-10,050-5595-3625,,https://tabelog.com/osaka/A2701/A270108/27145423/
暦（KOYOMI/こよみ）,大阪府 大阪市福島区 野田 3-5-22,050-5590-8799,,https://tabelog.com/osaka/A2701/A270108/27127653/
地どり炭火焼 鳥まる 本店,大阪府 大阪市福島区 福島 3-6-22,050-5595-1645,https://torimaru.org/,https://tabelog.com/osaka/A2701/A270108/27014709/
鮨 つま美,大阪府 大阪市福島区 福島 2-8-1,050-5593-4129,,https://tabelog.com/osaka/A2701/A270108/27141510/
レストラン イレブン（Eleven）,大阪府 大阪市福島区 鷺洲 2-10-7,050-5596-9715,,https://tabelog.com/osaka/A2701/A270108/27139658/
浦江亭 本店（ウラエテイ）,大阪府 大阪市福島区 福島 7-16-10,050-5592-5350,,https://tabelog.com/osaka/A2701/A270108/27005479/
もみだれ焼肉 獅子楼（【旧店名】もみだれ辛ホルモン 獅子楼）,大阪府 大阪市福島区 福島 1-2-14,050-5868-9122,https://nagahara-group.com/,https://tabelog.com/osaka/A2701/A270108/27119726/
酒家 ハイツナガオカ,大阪府 大阪市福島区 鷺洲 2-11-24,050-5595-9821,,https://tabelog.com/osaka/A2701/A270108/27144590/
彩苑（サイエン）,大阪府 大阪市福島区 福島 8-21-1,050-5600-6659,,https://tabelog.com/osaka/A2701/A270108/27011177/
しもぶち,大阪府 大阪市福島区 福島 2-10-13,050-5597-2952,,https://tabelog.com/osaka/A2701/A270108/27109054/
エヴォリュエ（Evoluer）,大阪府 大阪市福島区 福島 3-11-10,050-5597-0953,http://evoluer-fukushima.com,https://tabelog.com/osaka/A2701/A270108/27089343/
福島 牡蠣と肉たらし ビストロKAI（カイ）,大阪府 大阪市福島区 福島 2-7-15 yamasaビル 1F,050-5590-5894,,https://tabelog.com/osaka/A2701/A270108/27133163/
福島事変（【旧店名】タンサンバルポゴ）,大阪府 大阪市福島区 福島 2-9-10,050-5594-0395,,https://tabelog.com/osaka/A2701/A270108/27112283/
鮨 利庵 福島店,大阪府 大阪市福島区 福島 2-10-5 1F,050-5596-9686,,https://tabelog.com/osaka/A2701/A270108/27151801/
誠平鳥 福島店,大阪府 大阪市福島区 福島 2-8-11,050-5590-5198,https://seiheidori.com/,https://tabelog.com/osaka/A2701/A270108/27133116/
寿司福島（【旧店名】鮨 天翔）,大阪府 大阪市福島区 福島 1-2-17 ミートミー梅田西 1F,080-9876-9876,https://sushi-fukushima.com/,https://tabelog.com/osaka/A2701/A270108/27141561/
居酒屋 ぎんみ（ginmi）,大阪府 大阪市福島区 福島 2-9-4,050-1721-0469,https://site.locaop.jp/uJO7p,https://tabelog.com/osaka/A2701/A270108/27143786/
下町鉄板 お好み焼き 川上,大阪府 大阪市福島区 海老江 7-9-18,050-5600-6135,,https://tabelog.com/osaka/A2701/A270108/27072452/
魚坐（サカナザ）,大阪府 大阪市北区 堂島 3-2-6 堂島ROYALビル 1F,050-5590-6141,,https://tabelog.com/osaka/A2701/A270108/27113841/
焼鳥 とり藤 福島店,大阪府 大阪市福島区 福島 5-14-12 稲垣ビルプラザ2 1F,050-5593-4559,https://www.oz-company.jp/brands/torifuji/shops/fukushima/,https://tabelog.com/osaka/A2701/A270108/27121465/
LIMBERS（ライマーズ）,大阪府 大阪市福島区 福島 3-9-3,050-5593-0756,,https://tabelog.com/osaka/A2701/A270108/27139258/
廣島お好み焼き すみれ,大阪府 大阪市福島区 吉野 2-14-14 プレミアムコート野田阪神 1F,050-5593-3612,https://hiroshima-okonomiyaki-sumire.com/,https://tabelog.com/osaka/A2701/A270108/27140902/
炭火焼肉一獲,大阪府 大阪市福島区 福島 7-22-17 BRAVI福島 1F,050-5589-7748,,https://tabelog.com/osaka/A2701/A270108/27131080/
酒と飯 コメマル,大阪府 大阪市福島区 福島 8-17-3,050-5595-9783,,https://tabelog.com/osaka/A2701/A270108/27136948/
熟成鮨利他,大阪府 大阪市福島区 福島 2-7-17 2F,,,https://tabelog.com/osaka/A2701/A270108/27114514/
4坪牡蠣小屋キヨリト 福島1丁目店,大阪府 大阪市福島区 福島 1-2-16,050-5595-2772,,https://tabelog.com/osaka/A2701/A270108/27146000/
鉄板ぢどり焼TARO 大阪福島本店（タロウ）,大阪府 大阪市福島区 福島 3-7-24,050-5600-4060,,https://tabelog.com/osaka/A2701/A270108/27133421/
ORAN（オラン）,大阪府 大阪市福島区 福島 1-6-12,050-5593-5371,,https://tabelog.com/osaka/A2701/A270108/27140092/
炭火焼鳥 くわどり 野田本店,大阪府 大阪市福島区 吉野 2-1-26,050-5596-5484,http://kuwadoriiii.jp,https://tabelog.com/osaka/A2701/A270108/27107669/
もんじゃ麦 福島店,大阪府 大阪市福島区 福島 5-12-4,050-5890-5102,,https://tabelog.com/osaka/A2701/A270108/27087543/
ミチノ・ル・トゥールビヨン,大阪府 大阪市福島区 福島 6-9-11 神林堂ビル　1F,050-5596-6389,http://www.michino.com/,https://tabelog.com/osaka/A2701/A270108/27012726/
串かつや BANZAI（【旧店名】福島串かつや）,大阪府 大阪市福島区 福島 7-5-15 出水ビル 1F,050-5594-7735,https://kushikatsubanzai.crayonsite.net,https://tabelog.com/osaka/A2701/A270108/27062085/
えべっさん,大阪府 大阪市福島区 福島 7丁目2-9,050-5594-9367,,https://tabelog.com/osaka/A2701/A270108/27013994/
洋食 ヨコオ（YOKOO）,大阪府 大阪市福島区 福島 6-14-4,050-5596-7637,http://www.restaurant-yokoo.jp,https://tabelog.com/osaka/A2701/A270108/27001318/
焼肉ずんぐり 福島店,大阪府 大阪市福島区 福島 5-7-20,050-5594-3612,,https://tabelog.com/osaka/A2701/A270108/27144158/
小菜中華,大阪府 大阪市福島区 福島 1-6-29 2F,050-5593-5426,,https://tabelog.com/osaka/A2701/A270108/27141664/
堂島馬肉 佐々木,大阪府 大阪市北区 堂島 3-4-1,050-5456-4968,,https://tabelog.com/osaka/A2701/A270108/27133379/
すしと和 望月,大阪府 大阪市北区 堂島 3-3-3 マツヤビル 2F,050-5590-6243,,https://tabelog.com/osaka/A2701/A270108/27137819/
チヂミ,大阪府 大阪市福島区 野田 3-13-23,050-5593-5340,,https://tabelog.com/osaka/A2701/A270108/27107933/
猪焼肉と鯨専門店 猪の居（シシノイ）,大阪府 大阪市福島区 鷺洲 2-9-15 1F,050-5594-0523,https://shishi-noi.com/,https://tabelog.com/osaka/A2701/A270108/27122492/
まき埜（まきの）,大阪府 大阪市福島区 福島 6-11-13 シャトー西梅田 1F,050-5595-6923,,https://tabelog.com/osaka/A2701/A270108/27002682/
和牛焼肉 布上 2nd.,大阪府 大阪市福島区 福島 7-7-9,050-5456-0848,,https://tabelog.com/osaka/A2701/A270108/27076926/
SUSHI OSAKA Organic（寿司大阪オーガニック）,大阪府 大阪市福島区 鷺洲 2-10-4,070-1009-1009,,https://tabelog.com/osaka/A2701/A270108/27149380/
炭火焼肉 西屋,大阪府 大阪市福島区 福島 8-8-20,050-5594-5995,,https://tabelog.com/osaka/A2701/A270108/27144285/
和牛焼肉 布上 本店,大阪府 大阪市福島区 福島 4-2-69 グレースコート堂島　1Ｆ,050-5593-3534,,https://tabelog.com/osaka/A2701/A270108/27040961/
スタンド エイジ （age）,大阪府 大阪市福島区 鷺州2-15-32,050-5595-5783,,https://tabelog.com/osaka/A2701/A270108/27108946/
炭屋 へべれけ,大阪府 大阪市福島区 吉野 2-1-7,050-5592-8281,,https://tabelog.com/osaka/A2701/A270108/27136541/
福乃城,大阪府 大阪市福島区 鷺洲 2-9-14,050-5596-2867,https://fugunoshiro.com/,https://tabelog.com/osaka/A2701/A270108/27106933/
Cherry Jam（チェリー ジャム）,大阪府 大阪市福島区 吉野 2-1-8,050-5600-9148,,https://tabelog.com/osaka/A2701/A270108/27137488/
一菜一縁 よころ,大阪府 大阪市福島区 野田 3-13-19,050-5595-9905,,https://tabelog.com/osaka/A2701/A270108/27147282/
イタリア大衆食堂 堂島グラッチェ 福島店,大阪府 大阪市福島区 福島 5-6-6,050-5594-5913,,https://tabelog.com/osaka/A2701/A270108/27092456/
御料理 野々原,大阪府 大阪市福島区 福島 7-17-11,06-7650-1955,,https://tabelog.com/osaka/A2701/A270108/27146897/
BBQ ビアガーデン Da‐wa（ダーワ）,大阪府 大阪市福島区 福島 7-8-3 福本ビル 4F,050-5456-0426,,https://tabelog.com/osaka/A2701/A270108/27105708/
GRILL MONSTER（グリル モンスター）,大阪府 大阪市福島区 海老江 1-1-23 ウイステ 4F,050-5595-2632,https://www.wiste.jp/shoplist/detail/003382.html,https://tabelog.com/osaka/A2701/A270108/27141947/
鯖とか烏賊とか真とか,大阪府 大阪市福島区 玉川 4-14-8 今村ビル 1F,050-5600-1361,http://www.sabaika.jp/index.html,https://tabelog.com/osaka/A2701/A270108/27097191/
中華gathering ヤマノフドウ（チュウカギャザリングヤマノフドウ）,大阪府 大阪市福島区 福島 3-14-5,050-5594-3517,,https://tabelog.com/osaka/A2701/A270108/27141244/
cafe depot cafe&japanese cuisine（カフェデポ）,大阪府 大阪市福島区 福島 5-6-16 ラグザ大阪 B1F,050-5571-3811,https://laxa-osaka.hanshin.co.jp,https://tabelog.com/osaka/A2701/A270108/27126446/
ビストロ ブルーニー,大阪府 大阪市福島区 福島 7-9-17,050-5593-7174,https://bistro-broonie.com/,https://tabelog.com/osaka/A2701/A270108/27141451/
若葉屋 福島店,大阪府 大阪市福島区 福島 7-1-10,050-5597-8030,,https://tabelog.com/osaka/A2701/A270108/27005291/
tavolino（タボリノ）,大阪府 大阪市福島区 福島 3-12-6 レジーナ福島Ⅲ 2F,06-6450-8849,http://tavolino-osaka.com/,https://tabelog.com/osaka/A2701/A270108/27131936/
炭焼巧房　源,大阪府 大阪市福島区 福島 7-13-7 福島ビル北館　1F,06-6345-0722,https://sumiyakigen.com/gen/,https://tabelog.com/osaka/A2701/A270108/27049377/
トラットリア アジアーゴ,大阪府 大阪市福島区 大開 1-14-8 コージンビル 1F,06-6463-2777,,https://tabelog.com/osaka/A2701/A270108/27040955/
中国菜 オイル,大阪府 大阪市福島区 福島 6-19-12 ヴィラセゾン102,06-6442-1115,,https://tabelog.com/osaka/A2701/A270108/27052335/
なか田 リーガロイヤルホテル店,大阪府 大阪市北区 中之島 5-3-68 リーガロイヤルホテル B1F,06-6448-0239,,https://tabelog.com/osaka/A2701/A270108/27088477/
とれぽ珈琲,大阪府 大阪市福島区 野田 3-1-6,,https://suzuri.jp/torepocoffee,https://tabelog.com/osaka/A2701/A270108/27123078/
うおまる,大阪府 大阪市福島区 海老江 5-1-8,06-6455-5578,,https://tabelog.com/osaka/A2701/A270108/27085629/
てっぱん源治家,大阪府 大阪市福島区 大開 2-1-1,06-6466-0722,,https://tabelog.com/osaka/A2701/A270108/27099503/
鮨 永吉,大阪府 大阪市福島区 福島 2-3-23,06-6455-8566,,https://tabelog.com/osaka/A2701/A270108/27071045/
鷺洲うどん会館（サギス）,大阪府 大阪市福島区 鷺洲 2-6-19,,,https://tabelog.com/osaka/A2701/A270108/27141898/
福゜福゜（ぷくぷく）,大阪府 大阪市福島区 吉野 3-2-3,06-6468-3636,,https://tabelog.com/osaka/A2701/A270108/27045056/
ガスト 野田阪神店,大阪府 大阪市福島区 吉野 4-29-27,06-6467-2114,http://www.skylark.co.jp/gusto/index.html,https://tabelog.com/osaka/A2701/A270108/27059342/
Bistro cafe eS（【旧店名】ビストロ カフェ ラ ジャンサン）,大阪府 大阪市福島区 福島 1-5-12,06-6454-1920,,https://tabelog.com/osaka/A2701/A270108/27116745/
たこたこ,大阪府 大阪市福島区 鷺洲 1-1-7,,,https://tabelog.com/osaka/A2701/A270108/27062662/
鶴橋風月 野田阪神ウイステ店,大阪府 大阪市福島区 海老江 1-1-23 野田阪神ウイステ 4F,06-6486-9968,https://fugetsu.jp/?shop=p3304,https://tabelog.com/osaka/A2701/A270108/27119960/
インドレストラン DIWALI 福島本店（ディワリ）,大阪府 大阪市福島区 福島 1-1-51 堂島クロスウォーク 1F,06-4797-0655,https://diwali-curry.jp,https://tabelog.com/osaka/A2701/A270108/27051317/
モスバーガー JR野田店,大阪府 大阪市福島区 吉野 3-12-26,06-4804-5556,,https://tabelog.com/osaka/A2701/A270108/27063520/
サイゼリヤ オアシス玉川駅前店（Saizeriya）,大阪府 大阪市福島区 玉川 4-11-8 阪急オアシス 福島玉川店 2F,06-6479-3751,,https://tabelog.com/osaka/A2701/A270108/27077444/
サーモンバル パーシャ（SALMONBAL PARTIA）,大阪府 大阪市福島区 福島 8-1-43,06-6343-7477,http://www.salmonbar-partia.com/,https://tabelog.com/osaka/A2701/A270108/27060886/
油そば あけぼの,大阪府 大阪市福島区 福島 7-4-26,,https://aburasoba-akebono.com/,https://tabelog.com/osaka/A2701/A270108/27151023/
パーラーイワシ（parlor184）,大阪府 大阪市福島区 福島 1-6-24 グレーコートファイブ 1F,06-6458-3233,http://www.p-184.com/shop.html,https://tabelog.com/osaka/A2701/A270108/27063058/
炭火焼鳥 政,大阪府 大阪市福島区 福島 3-11-7,06-4796-7052,,https://tabelog.com/osaka/A2701/A270108/27102422/
かたえ,大阪府 大阪市福島区 大開 1-20-2,06-6463-9515,,https://tabelog.com/osaka/A2701/A270108/27111810/
パティスリー チャウチャウ（Patisserie Chau.Chau）,大阪府 大阪市福島区 福島 2-7-9,06-6451-5990,http://chauchau-cake.jp,https://tabelog.com/osaka/A2701/A270108/27015303/
小麦や,大阪府 大阪市福島区 福島 6-8-21,06-6451-7800,,https://tabelog.com/osaka/A2701/A270108/27024263/
上海,大阪府 大阪市福島区 野田 1-1-86 大阪市中央卸売市場本場 マイドプラザグルメ1 1F,06-6469-7188,,https://tabelog.com/osaka/A2701/A270108/27047597/
藤家,大阪府 大阪市福島区 福島 5-10-21,,,https://tabelog.com/osaka/A2701/A270108/27070931/
ちひろ菓子店焙煎所,大阪府 大阪市福島区 福島 2-2-24,06-6110-5570,,https://tabelog.com/osaka/A2701/A270108/27124502/
肴時々酒 海市,大阪府 大阪市福島区 大開 1-20-3,06-6463-4137,,https://tabelog.com/osaka/A2701/A270108/27110321/
お好み焼 なかの‎,大阪府 大阪市福島区 鷺洲 2丁目11-3,06-6451-6560,,https://tabelog.com/osaka/A2701/A270108/27014134/
クロワッサンサファリ 野田店（croissant saffarii）,大阪府 大阪市福島区 吉野 2-13-10 デュースミックスビルディング 1F,,,https://tabelog.com/osaka/A2701/A270108/27145858/
はなぶさ,大阪府 大阪市福島区 福島 2-10-13,06-6451-8723,,https://tabelog.com/osaka/A2701/A270108/27033300/
お好み焼絵美,大阪府 大阪市福島区 福島 7-7-22,06-6458-1122,,https://tabelog.com/osaka/A2701/A270108/27031863/
こころ,大阪府 大阪市福島区 海老江 5-1-11,06-6452-9620,,https://tabelog.com/osaka/A2701/A270108/27052292/
ぎょうざの満洲 野田阪神店,大阪府 大阪市福島区 大開 2-1-3,06-6940-7031,http://www.mansyu.co.jp/,https://tabelog.com/osaka/A2701/A270108/27097147/
天ぷら うらかみ,大阪府 大阪市福島区 福島 1-2-4 YATARYUビル 1F,06-6454-5477,,https://tabelog.com/osaka/A2701/A270108/27091485/
カフェ バーンホーフ（CAFE BAHNHOF）,大阪府 大阪市福島区 吉野 1-14-8,06-6449-5075,http://bahnhof.jp/,https://tabelog.com/osaka/A2701/A270108/27002691/
中華そば ふじい  野田阪神店,大阪府 大阪市福島区 大開 1-2-1,06-6743-4751,http://www.ra-men.co/,https://tabelog.com/osaka/A2701/A270108/27117451/
味十味,大阪府 大阪市福島区 福島 5-12-11,06-6345-5277,,https://tabelog.com/osaka/A2701/A270108/27067586/
ミスタードーナツ イオンスタイル海老江ショップ（mister Donut）,大阪府 大阪市福島区 海老江 1-5-52 イオンスタイル海老江,06-4797-8899,,https://tabelog.com/osaka/A2701/A270108/27116980/
鉄板焼 THE VILLAGE OSAKA（ザ ヴィレッジ オオサカ）,大阪府 大阪市福島区 福島 1-5-12,06-6131-5088,,https://tabelog.com/osaka/A2701/A270108/27122512/
トラットリア ダ ジャコモ（Trattoria da giacomo）,大阪府 大阪市福島区 福島 5-6-11 シュエット吉本　２Ｆ,06-6451-3333,,https://tabelog.com/osaka/A2701/A270108/27001173/
みずほ食堂,大阪府 大阪市福島区 鷺洲 2-6-20,06-6458-0146,,https://tabelog.com/osaka/A2701/A270108/27031282/
麺屋 104（とし）,大阪府 大阪市福島区 野田 6-4-22,,,https://tabelog.com/osaka/A2701/A270108/27125561/
草鍋えんや,大阪府 大阪市福島区 野田 3-15-10 ＫＡＩＴＯビル　１Ｆ,06-6462-4007,,https://tabelog.com/osaka/A2701/A270108/27045120/
シアトルズベストコーヒー イオンスタイル野田阪神店（Seattle's Best Coffee）,大阪府 大阪市福島区 海老江 1-1-23 イオン野田阪神店 2F,06-6476-8811,https://www.aeon.com/store/%E3%82%A4%E3%82%AA%E3%83%B3/%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E9%87%8E%E7%94%B0%E9%98%AA%E7%A5%9E/shop_info/specialty_store/,https://tabelog.com/osaka/A2701/A270108/27127467/
上等カレー 本町4丁目店,大阪府 大阪市中央区 本町 4-5-10,06-6268-0141,http://tokumasa.net/,https://tabelog.com/osaka/A2701/A270108/27055484/
オマーラベーカリー（omara bakery）,大阪府 大阪市福島区 鷺洲 2-11-22,,,https://tabelog.com/osaka/A2701/A270108/27128824/
燃えよ麺助,大阪府 大阪市福島区 福島 5-12-21,06-6452-2101,,https://tabelog.com/osaka/A2701/A270108/27091454/
太陽のトマト麺 福島駅前支店（たいようのとまとめん）,大阪府 大阪市福島区 福島 5-13-18,06-6343-8626,http://taiyo-tomato.com/,https://tabelog.com/osaka/A2701/A270108/27017264/
YAMACHAN（ヤマチャン）,大阪府 大阪市福島区 海老江 2-2-12,,,https://tabelog.com/osaka/A2701/A270108/27125544/
W2,大阪府 大阪市福島区 福島 2-8-19,06-7709-2306,,https://tabelog.com/osaka/A2701/A270108/27106769/
蕎麦 小山（ソバ コヤマ）,大阪府 大阪市福島区 福島 8-14-12 2F,,,https://tabelog.com/osaka/A2701/A270108/27102462/
グローレベル（GrowLevel）,大阪府 大阪市福島区 福島 2-7-17 3F,06-4256-6269,https://growlevel-corporation.com/,https://tabelog.com/osaka/A2701/A270108/27105013/
米増（ヨネマス）,大阪府 大阪市北区 大淀南 1-9-16 山彦ビル 1F,06-6345-1107,,https://tabelog.com/osaka/A2701/A270108/27095726/
みわ亭（みわてい）,大阪府 大阪市福島区 福島 6-14-5 福島民放ビル　１Ｆ,06-6454-6522,,https://tabelog.com/osaka/A2701/A270108/27003684/
こっそりカレー,大阪府 大阪市福島区 海老江 2-6-9,,https://kossori.site/,https://tabelog.com/osaka/A2701/A270108/27120039/
やきとり家 すみれ 福島店,大阪府 大阪市福島区 福島 7-2-8,050-5592-4314,https://y-smile.co.jp/fukushima,https://tabelog.com/osaka/A2701/A270108/27089631/
立呑み小町,大阪府 大阪市福島区 福島 5-12-11,06-6453-0702,,https://tabelog.com/osaka/A2701/A270108/27067793/
やきとり大吉　 新福島店（大吉）,大阪府 大阪市福島区 福島 3丁目6-6,06-6452-5412,http://www.daikichi.co.jp/,https://tabelog.com/osaka/A2701/A270108/27018764/
すき家 阪神野田駅前店,大阪府 大阪市福島区 海老江 1-1-17 野田アプラ１０５号,,http://www.sukiya.jp/,https://tabelog.com/osaka/A2701/A270108/27054769/
思い立ったが焼売,大阪府 大阪市福島区 海老江 1-5-40,06-6346-3739,,https://tabelog.com/osaka/A2701/A270108/27130496/
ステーキキッチン KENYA（ケンヤ）,大阪府 大阪市福島区 福島 3-7-35,06-6225-7510,,https://tabelog.com/osaka/A2701/A270108/27099393/
こなつ,大阪府 大阪市福島区 福島 2-7-7,06-6136-5721,,https://tabelog.com/osaka/A2701/A270108/27110822/
フランスパン神社 福島店,大阪府 大阪市福島区 福島 1-2-15,06-7172-4817,https://francepan-jinjya.com/access/,https://tabelog.com/osaka/A2701/A270108/27131554/
もつ焼きのりちゃん,大阪府 大阪市福島区 大開 1-20-4,090-6841-3077,,https://tabelog.com/osaka/A2701/A270108/27141154/
海鮮屋台おくまん 福島本店,大阪府 大阪市福島区 福島 7-14-16,06-6451-0907,http://www.izakanaya-okuman.com/,https://tabelog.com/osaka/A2701/A270108/27008073/
